Week.Ending.Date,Geographic.aggregation,Number.of.Inpatient.Beds.Occupied,Total.COVID.19.Admissions,Total.Influenza.Admissions,Total.RSV.Admissions,Total.Adult.RSV.Admissions
2/8/2025,AK,943,10,26,13,10
2/8/2025,AL,9886,221,652,81,55
2/8/2025,AR,4875,84,627,61,41
2/8/2025,AZ,7134,126,465,361,194
2/8/2025,CA,49622,807,3354,711,423
2/8/2025,CO,7412,101,562,225,73
2/8/2025,CT,6390,162,537,80,65
2/8/2025,DC,2207,24,248,2,2
2/8/2025,DE,1619,31,157,28,18
2/8/2025,FL,42183,554,2924,362,269
2/8/2025,GA,17245,291,1199,148,122
2/8/2025,GU,120,0,0,0,0
2/8/2025,HI,1772,11,81,24,18
2/8/2025,IA,4790,108,559,104,50
2/8/2025,ID,1963,29,165,67,31
2/8/2025,IL,17339,526,2205,340,258
2/8/2025,IN,12092,358,1668,216,106
2/8/2025,KS,4829,92,424,88,48
2/8/2025,KY,8237,233,1081,99,69
2/8/2025,LA,7354,168,439,97,52
2/8/2025,MA,13685,283,1574,139,120
2/8/2025,MD,8855,177,962,83,71
2/8/2025,ME,2450,39,196,25,9
2/8/2025,MI,12323,481,1244,322,178
2/8/2025,MN,7543,175,674,206,85
2/8/2025,MO,10825,209,1091,128,89
2/8/2025,MS,5591,132,467,39,36
2/8/2025,MT,1781,25,157,32,15
2/8/2025,NC,18810,439,2238,344,246
2/8/2025,ND,1567,38,123,28,6
2/8/2025,NE,3328,65,303,88,36
2/8/2025,NH,1928,59,163,22,15
2/8/2025,NJ,15410,450,1888,218,176
2/8/2025,NM,2626,60,203,101,29
2/8/2025,NV,5153,41,192,103,32
2/8/2025,NY,31111,730,2607,465,355
2/8/2025,OH,22086,626,3082,255,158
2/8/2025,OK,6691,125,892,141,91
2/8/2025,OR,5526,68,548,178,108
2/8/2025,PA,22067,1296,4174,731,609
2/8/2025,PR,2683,47,162,24,2
2/8/2025,RI,1762,55,193,22,19
2/8/2025,SC,8372,202,1148,107,88
2/8/2025,SD,1837,60,197,37,14
2/8/2025,TN,12930,231,919,108,71
2/8/2025,TX,47722,796,4019,461,240
2/8/2025,UT,4140,44,209,224,51
2/8/2025,VA,12173,278,1151,69,54
2/8/2025,VI,93,0,0,0,0
2/8/2025,VT,767,26,115,9,5
2/8/2025,WA,10151,139,749,143,109
2/8/2025,WI,8694,332,1111,222,135
2/8/2025,WV,4262,110,446,87,50
2/8/2025,WY,335,9,62,29,12
2/1/2025,AK,950,8,28,31,16
2/1/2025,AL,9573,212,742,77,58
2/1/2025,AR,5054,77,464,57,48
2/1/2025,AZ,10854,401,870,435,267
2/1/2025,CA,51850,910,4276,784,448
2/1/2025,CO,7993,153,543,223,83
2/1/2025,CT,6682,174,466,76,59
2/1/2025,DC,2288,30,197,6,6
2/1/2025,DE,1593,32,140,28,14
2/1/2025,FL,45792,611,3616,491,380
2/1/2025,GA,17791,279,1319,149,114
2/1/2025,GU,119,0,2,0,0
2/1/2025,HI,2049,10,70,18,7
2/1/2025,IA,5288,130,431,98,36
2/1/2025,ID,2050,25,162,41,19
2/1/2025,IL,20134,596,2137,372,281
2/1/2025,IN,11726,357,1243,191,111
2/1/2025,KS,5132,96,377,82,29
2/1/2025,KY,9179,193,694,103,65
2/1/2025,LA,9017,151,581,126,90
2/1/2025,MA,13288,349,1282,135,113
2/1/2025,MD,9202,190,810,90,74
2/1/2025,ME,2132,46,151,22,12
2/1/2025,MI,12978,577,1093,384,207
2/1/2025,MN,7990,215,877,182,90
2/1/2025,MO,11382,191,904,164,106
2/1/2025,MS,5939,115,536,54,45
2/1/2025,MT,1751,11,109,29,14
2/1/2025,NC,17669,396,1905,353,255
2/1/2025,ND,1636,22,104,29,9
2/1/2025,NE,3561,74,305,67,24
2/1/2025,NH,1895,64,142,22,18
